Date,AAPL,MSFT,TSLA,NVDA,^GSPC,^IXIC
2020-01-02,72.71607208251953,153.32322692871094,28.68400001525879,5.972160816192627,3257.85009765625,9092.1904296875
2020-01-03,72.00911712646484,151.4141387939453,29.534000396728516,5.876570701599121,3234.85009765625,9020.76953125
2020-01-06,72.58292388916016,151.80551147460938,30.1026668548584,5.901215076446533,3246.280029296875,9071.4697265625
2020-01-07,72.2415542602539,150.42137145996094,31.270666122436523,5.972659587860107,3237.179931640625,9068.580078125
2020-01-08,73.40362548828125,152.8173828125,32.80933380126953,5.983862400054932,3253.050048828125,9129.240234375
2020-01-09,74.9627914428711,154.7264862060547,32.089332580566406,6.0495805740356445,3274.699951171875,9203.4296875
2020-01-10,75.13227081298828,154.01055908203125,31.876667022705078,6.081941604614258,3265.35009765625,9178.8603515625
2020-01-13,76.7374267578125,155.86244201660156,34.990665435791016,6.272623538970947,3288.1298828125,9273.9296875
2020-01-14,75.70121002197266,154.7646484375,35.861331939697266,6.155625343322754,3283.14990234375,9251.330078125
2020-01-15,75.37680053710938,155.7669677734375,34.56666564941406,6.113058567047119,3289.2900390625,9258.7001953125
2020-01-16,76.32100677490234,158.62115478515625,34.232666015625,6.196699142456055,3316.81005859375,9357.1298828125
2020-01-17,77.16593170166016,159.50888061523438,34.03333282470703,6.205411911010742,3329.6201171875,9388.9404296875
2020-01-21,76.64300537109375,158.9361114501953,36.47999954223633,6.172054290771484,3320.7900390625,9370.8095703125
2020-01-22,76.91659545898438,158.17247009277344,37.97066879272461,6.226072788238525,3321.75,9383.76953125
2020-01-23,77.28701782226562,159.14613342285156,38.14666748046875,6.294529914855957,3325.5400390625,9402.48046875
2020-01-24,77.06427001953125,157.54244995117188,37.654666900634766,6.235282897949219,3295.469970703125,9314.91015625
2020-01-27,74.79816436767578,154.90786743164062,37.201332092285156,5.979379653930664,3243.6298828125,9139.3095703125
2020-01-28,76.91415405273438,157.9434051513672,37.793331146240234,6.172801494598389,3276.239990234375,9269.6796875
2020-01-29,78.52416229248047,160.40618896484375,38.732666015625,6.112311363220215,3273.39990234375,9275.16015625
2020-01-30,78.41034698486328,164.9308624267578,42.72066879272461,6.119032382965088,3283.659912109375,9298.9296875
2020-01-31,74.93376159667969,162.4967041015625,43.371334075927734,5.885532379150391,3225.52001953125,9150.9404296875
2020-02-03,74.72795104980469,166.4581756591797,52.0,5.982616901397705,3248.919921875,9273.400390625
2020-02-04,77.19502258300781,171.93740844726562,59.137332916259766,6.151892185211182,3297.590087890625,9467.9697265625
2020-02-05,77.82449340820312,171.72738647460938,48.97999954223633,6.24225378036499,3334.68994140625,9508.6796875
2020-02-06,78.73477935791016,175.28794860839844,49.930667877197266,6.329131603240967,3345.780029296875,9572.150390625
2020-02-07,77.66455841064453,175.5361328125,49.871334075927734,6.26291561126709,3327.7099609375,9520.509765625
2020-02-10,78.03343963623047,180.12765502929688,51.41866683959961,6.546202659606934,3352.090087890625,9628.3896484375
2020-02-11,77.5626449584961,176.06112670898438,51.62533187866211,6.668676853179932,3357.75,9638.9404296875
2020-02-12,79.40457916259766,176.3188934326172,51.15266799926758,6.784430503845215,3379.449951171875,9725.9599609375
2020-02-13,78.83912658691406,175.3643035888672,53.599998474121094,6.74061918258667,3373.93994140625,9711.9697265625
2020-02-14,78.85855102539062,176.92984008789062,53.33533477783203,7.213841915130615,3380.159912109375,9731.1796875
2020-02-18,77.41460418701172,178.7244110107422,57.22666549682617,7.382618427276611,3370.2900390625,9732.740234375
2020-02-19,78.53578186035156,179.2604522705078,61.16133117675781,7.8339338302612305,3386.14990234375,9817.1796875
2020-02-20,77.7300796508789,176.52293395996094,59.96066665649414,7.684574604034424,3373.22998046875,9750.9697265625
2020-02-21,75.9706802368164,170.9425506591797,60.06666564941406,7.320385456085205,3337.75,9576.58984375
2020-02-24,72.3620376586914,163.572265625,55.58599853515625,6.802852153778076,3225.889892578125,9221.2802734375
2020-02-25,69.91096496582031,160.87303161621094,53.32733154296875,6.523299694061279,3128.2099609375,8965.6103515625
2020-02-26,71.0200424194336,162.88308715820312,51.91999816894531,6.662703037261963,3116.389892578125,8980.7802734375
2020-02-27,66.3775405883789,151.40650939941406,45.266666412353516,6.291819095611572,2978.760009765625,8566.48046875
2020-02-28,66.33872985839844,155.07254028320312,44.53266525268555,6.72696590423584,2954.219970703125,8567.3701171875
2020-03-02,72.5149154663086,165.3909149169922,49.574668884277344,6.885382652282715,3090.22998046875,8952.169921875
2020-03-03,70.2118911743164,157.46543884277344,49.70066833496094,6.622849464416504,3003.3701171875,8684.08984375
2020-03-04,73.4686279296875,163.246826171875,49.96666717529297,7.086641311645508,3130.1201171875,9018.08984375
2020-03-05,71.08555603027344,159.15013122558594,48.30266571044922,6.807170867919922,3023.93994140625,8738.58984375
2020-03-06,70.14151763916016,154.65138244628906,46.89866638183594,6.626585960388184,2972.3701171875,8575.6201171875
2020-03-09,64.59388732910156,144.1702423095703,40.53333282470703,6.1134772300720215,2746.56005859375,7950.68017578125
2020-03-10,69.24604034423828,154.0291748046875,43.02199935913086,6.503040790557861,2882.22998046875,8344.25
2020-03-11,66.841064453125,147.0513458251953,42.28200149536133,6.139131546020508,2741.3798828125,7952.0498046875
2020-03-12,60.24021530151367,133.1052703857422,37.369998931884766,5.387900352478027,2480.639892578125,7201.7998046875
2020-03-13,67.45750427246094,152.02870178222656,36.44133377075195,5.998898983001709,2711.02001953125,7874.8798828125
2020-03-16,58.77928924560547,129.62112426757812,29.67133331298828,4.891976356506348,2386.1298828125,6904.58984375
